hltv_name,year,rating_ct,rating_t,adr,kast,firepower_ct,firepower_t,entrying_ct,entrying_t,trading_ct,trading_t,opening_ct,opening_t,sniping,utility,found,steamid,clutching
rain,2024,1.04,1.05,75.3,71.4,50,52,52,62,31,45,55,75,0,53,yes,76561197997351207,42
drop,2025,1.07,1.05,76.0,75.4,62,45,67,80,60,61,51,31,0,67,yes,76561198388056582,48
Moseyuh,2025,1.1,1.11,77.3,75.1,72,60,67,70,61,58,50,57,0,31,yes,76561198355197522,52
rigoN,2024,0.99,1.02,75.8,69.9,57,67,55,75,47,44,41,77,3,25,yes,76561198172837021,38
Norwi-,2024,1.03,1.01,70.3,72.8,42,37,64,54,54,41,30,50,1,52,yes,76561198154904607,45
KSCERATO,2025,1.19,1.21,82.0,76.4,81,76,39,36,60,43,38,62,0,85,yes,76561198058500492,64
xertioN,2024,1.13,1.11,81.7,72.2,81,72,59,57,53,22,70,83,0,62,yes,76561198193174134,41
iM,2025,1.11,1.07,78.5,73.7,82,50,75,45,71,41,69,58,0,44,yes,76561198050250233,43
Queenix,2024,1.03,0.99,68.2,71.5,32,30,55,44,45,48,26,32,0,70,yes,76561198030545997,65
riskyb0b,2024,1.01,1.06,75.0,74.1,43,57,75,74,71,50,48,54,2,61,yes,76561198889240025,37
drop,2024,0.98,1.06,70.6,74.1,27,49,53,86,46,41,39,64,0,40,yes,76561198388056582,54
w0nderful,2025,1.08,1.14,71.7,73.5,59,56,29,17,50,78,70,33,91,54,yes,76561199063068840,76
hades,2025,1.05,1.1,73.5,72.0,72,65,23,17,33,48,82,37,92,56,yes,76561198050922008,81
acoR,2024,1.05,1.04,71.1,71.6,66,43,34,27,56,64,67,37,92,71,yes,76561198002942763,61
Tauson,2025,1.02,1.04,72.4,72.7,41,51,44,42,34,73,49,49,0,37,yes,76561198316706174,70
FalleN,2025,0.96,0.92,62.6,70.7,24,11,55,58,33,41,34,28,23,72,yes,76561197960690195,43
910,2024,1.06,1.08,71.3,72.5,65,52,16,31,41,54,73,45,92,34,yes,76561199203563345,64
cadiaN,2025,0.87,0.84,64.1,69.3,15,8,48,43,31,29,55,30,14,92,yes,76561198004115516,42
YEKINDAR,2025,1.06,1.12,80.5,72.3,77,58,57,39,27,12,89,88,0,67,yes,76561198134401925,36
electroNic,2024,1.05,1.04,78.4,73.1,70,63,82,58,67,58,57,53,0,69,yes,76561198044045107,27
Chr1zN,2025,1.04,1.03,75.0,70.3,61,40,55,51,36,24,65,63,0,82,yes,76561198292598811,49
SLIGHT,2024,1.0,0.94,68.2,69.7,50,30,37,22,40,45,81,41,92,68,yes,76561198153580037,77
Magisk,2025,0.96,1.0,69.4,72.2,31,29,30,42,45,63,35,30,1,62,yes,76561197983956651,46
story,2025,1.06,1.12,73.3,72.2,64,54,41,24,32,47,92,35,92,68,yes,76561198065448360,61
TRAVIS,2024,1.07,1.1,74.4,71.6,52,57,32,49,49,63,35,48,0,60,yes,76561198362970723,67
EliGE,2025,1.06,1.14,80.4,71.6,70,78,40,48,60,58,76,81,0,65,yes,76561198066693739,32
Attacker,2025,0.93,0.92,66.7,73.1,19,23,74,92,47,61,39,47,0,27,yes,76561198048266764,35
try,2025,1.28,1.2,82.1,76.0,97,75,21,12,44,50,94,66,93,59,yes,76561198365118288,76
SunPayus,2025,1.14,1.04,70.7,74.8,68,28,19,44,44,53,68,37,92,60,yes,76561198309839541,75
Lucky,2025,1.04,1.01,73.5,72.9,47,39,60,58,77,65,26,34,1,67,yes,76561198031890115,51
dumau,2024,1.16,1.21,84.6,74.9,85,92,37,36,46,58,71,87,0,74,yes,76561198194325317,54
malbsMd,2024,1.18,1.25,85.2,74.3,89,92,79,70,53,42,89,92,0,50,yes,76561198080703143,39
1eeR,2024,1.0,1.0,72.5,72.5,40,37,84,64,62,47,51,38,0,79,yes,76561198837117408,51
Wicadia,2024,1.08,1.06,76.5,72.4,69,68,42,67,38,66,58,68,1,33,yes,76561198812513923,38
