demo_id,year,event,series_date
complexity-vs-saw-m2-inferno,2025,PGL Cluj-Napoca 2025,2025/2/17
pain-vs-virtus-pro-m1-inferno,2025,PGL Cluj-Napoca 2025,2025/2/17
pgl-cluj-napoca-2025-wildcard-vs-big__wildcard-vs-big-m2-inferno,2025,PGL Cluj-Napoca 2025,2025/2/17
astralis-vs-big-m2-inferno,2025,PGL Cluj-Napoca 2025,2025/2/18
mouz-vs-virtus-pro-m2-inferno,2025,PGL Cluj-Napoca 2025,2025/2/18
3dmax-vs-big-m2-inferno,2025,IEM Katowice 2025,2025/2/2
pain-vs-mouz-m1-inferno,2025,PGL Cluj-Napoca 2025,2025/2/21
the-mongolz-vs-astralis-m2-inferno,2025,PGL Cluj-Napoca 2025,2025/2/21
mouz-vs-astralis-m1-inferno,2025,PGL Cluj-Napoca 2025,2025/2/22
astralis-vs-faze-m2-inferno,2025,PGL Cluj-Napoca 2025,2025/2/23
iem-katowice-2025-eternal-fire-vs-3dmax__eternal-fire-vs-3dmax-m1-inferno,2025,IEM Katowice 2025,2025/2/3
virtus-pro-vs-vitality-m2-inferno,2025,IEM Katowice 2025,2025/2/4
esl-pro-league-season-21-saw-vs-gamerlegion__saw-vs-gamerlegion-m2-inferno,2025,ESL Pro League Season 21,2025/3/10
eternal-fire-vs-pain-m2-inferno,2025,ESL Pro League Season 21,2025/3/10
esl-pro-league-season-21-falcons-vs-eternal-fire__falcons-vs-eternal-fire-m1-inferno,2025,ESL Pro League Season 21,2025/3/11
g2-vs-gamerlegion-m1-inferno,2025,ESL Pro League Season 21,2025/3/11
liquid-vs-3dmax-m1-inferno,2025,ESL Pro League Season 21,2025/3/11
esl-pro-league-season-21-eternal-fire-vs-3dmax__eternal-fire-vs-3dmax-m1-inferno,2025,ESL Pro League Season 21,2025/3/7
falcons-vs-liquid-m1-inferno,2025,ESL Pro League Season 21,2025/3/7
g2-vs-pain-m2-inferno,2025,ESL Pro League Season 21,2025/3/7
mouz-vs-furia-m2-inferno,2025,ESL Pro League Season 21,2025/3/7
natus-vincere-vs-saw-m1-inferno,2025,ESL Pro League Season 21,2025/3/7
vitality-vs-mibr-m2-inferno,2025,ESL Pro League Season 21,2025/3/7
eternal-fire-vs-mibr-m2-inferno,2025,ESL Pro League Season 21,2025/3/8
gamerlegion-vs-pain-m2-inferno,2025,ESL Pro League Season 21,2025/3/8
natus-vincere-vs-tyloo-m1-inferno,2025,ESL Pro League Season 21,2025/3/8
falcons-vs-3dmax-m1-inferno,2025,ESL Pro League Season 21,2025/3/9
furia-vs-mibr-m3-inferno,2025,ESL Pro League Season 21,2025/3/9
gamerlegion-vs-tyloo-m2-inferno,2025,ESL Pro League Season 21,2025/3/9
liquid-vs-eternal-fire-m1-inferno,2025,ESL Pro League Season 21,2025/3/9
vitality-vs-mouz-m1-inferno,2025,ESL Pro League Season 21,2025/3/9
iem-dallas-2025-g2-vs-lynn-vision__g2-vs-lynn-vision-m2-inferno,2025,IEM Dallas 2025,2025/5/19
liquid-vs-faze-m2-inferno,2025,IEM Dallas 2025,2025/5/19
3dmax-vs-legacy-m1-inferno,2025,IEM Dallas 2025,2025/5/20
g2-vs-the-mongolz-m1-inferno,2025,IEM Dallas 2025,2025/5/20
iem-dallas-2025-liquid-vs-mouz__liquid-vs-mouz-m1-inferno,2025,IEM Dallas 2025,2025/5/20
nrg-vs-aurora-m1-inferno,2025,IEM Dallas 2025,2025/5/20
3dmax-vs-g2-m1-inferno,2025,IEM Dallas 2025,2025/5/21
liquid-vs-aurora-m1-inferno,2025,IEM Dallas 2025,2025/5/21
vitality-vs-the-mongolz-m1-inferno,2025,IEM Dallas 2025,2025/5/21
falcons-vs-gamerlegion-m3-inferno,2025,IEM Dallas 2025,2025/5/23
mouz-vs-the-mongolz-m1-inferno,2025,IEM Dallas 2025,2025/5/24
vitality-vs-falcons-m3-inferno,2025,IEM Dallas 2025,2025/5/24
mouz-vs-vitality-m3-inferno,2025,IEM Dallas 2025,2025/5/25
3dmax-vs-natus-vincere-inferno,2025,BLAST Austin Major 2025,2025/6/12
the-mongolz-vs-furia-inferno,2025,BLAST Austin Major 2025,2025/6/12
vitality-vs-legacy-inferno,2025,BLAST Austin Major 2025,2025/6/12
aurora-vs-g2-inferno,2025,BLAST Austin Major 2025,2025/6/13
3dmax-vs-pain-m1-inferno,2025,BLAST Austin Major 2025,2025/6/14
aurora-vs-mouz-m2-inferno,2025,BLAST Austin Major 2025,2025/6/14
legacy-vs-lynn-vision-m2-inferno,2025,BLAST Austin Major 2025,2025/6/14
natus-vincere-vs-g2-m3-inferno,2025,BLAST Austin Major 2025,2025/6/14
legacy-vs-mouz-m2-inferno,2025,BLAST Austin Major 2025,2025/6/15
virtus-pro-vs-pain-m2-inferno,2025,BLAST Austin Major 2025,2025/6/15
blasttv-austin-major-2025-furia-vs-pain__furia-vs-pain-m3-inferno,2025,BLAST Austin Major 2025,2025/6/19
mouz-vs-vitality-m2-inferno,2025,BLAST Austin Major 2025,2025/6/21
vitality-vs-the-mongolz-m3-inferno,2025,BLAST Austin Major 2025,2025/6/22
3dmax-vs-legacy-inferno,2025,BLAST Austin Major 2025,2025/6/7
virtus-pro-vs-b8-inferno,2025,BLAST Austin Major 2025,2025/6/7
virtus-pro-vs-og-inferno,2025,BLAST Austin Major 2025,2025/6/7
falcons-vs-mibr-m3-inferno,2025,BLAST Austin Major 2025,2025/6/9
faze-vs-3dmax-m2-inferno,2025,BLAST Austin Major 2025,2025/6/9
astralis-vs-b8-m2-inferno,2025,IEM Cologne 2025,2025/7/23
faze-vs-big-m1-inferno,2025,IEM Cologne 2025,2025/7/23
gamerlegion-vs-complexity-m1-inferno,2025,IEM Cologne 2025,2025/7/23
tyloo-vs-virtuspro-m1-inferno,2025,IEM Cologne 2025,2025/7/23
complexity-vs-tyloo-m2-inferno,2025,IEM Cologne 2025,2025/7/24
3dmax-vs-tyloo-m1-inferno,2025,IEM Cologne 2025,2025/7/25
astralis-vs-pain-m3-inferno,2025,IEM Cologne 2025,2025/7/25
furia-vs-astralis-m1-inferno,2025,IEM Cologne 2025,2025/7/27
iem-cologne-2025-g2-vs-vitality__g2-vs-vitality-m1-inferno,2025,IEM Cologne 2025,2025/7/27
3dmax-vs-g2-m2-inferno,2025,IEM Cologne 2025,2025/7/28
faze-vs-natus-vincere-m2-inferno,2025,IEM Cologne 2025,2025/7/29
ninjas-in-pyjamas-vs-natus-vincere-m2-inferno,2025,IEM Cologne 2025,2025/7/29
the-mongolz-vs-vitality-m2-inferno,2025,IEM Cologne 2025,2025/7/29
mouz-vs-furia-m3-inferno,2025,IEM Cologne 2025,2025/8/1
