hltv_name,year,rating_version,rating,adr,kast,clutching,found,steamid
malbsMd,2024,3.0,1.22,85.2,74.3,39,yes,76561198080703143
malbsMd,2025,3.0,1.06,78.1,71.0,33,yes,76561198080703143
b1t,2024,3.0,1.16,78.4,74.6,42,yes,76561198246607476
b1t,2025,3.0,1.13,77.2,74.1,52,yes,76561198246607476
Aleksib,2024,3.0,0.92,62.1,72.2,44,yes,76561198013243326
Aleksib,2025,3.0,0.92,61.6,72.2,41,yes,76561198013243326
w0nderful,2024,3.0,1.13,72.9,74.8,62,yes,76561199063068840
w0nderful,2025,3.0,1.11,71.7,73.5,76,yes,76561199063068840
ultimate,2024,3.0,1.08,75.2,71.8,60,yes,76561198283989223
ultimate,2025,3.0,1.02,69.5,71.5,52,yes,76561198283989223
YEKINDAR,2024,3.0,0.99,72.8,70.9,31,yes,76561198134401925
YEKINDAR,2025,3.0,1.09,80.5,72.3,36,yes,76561198134401925
bodyy,2024,3.0,0.97,71.8,71.4,32,yes,76561198013295375
bodyy,2025,3.0,1.04,76.8,71.0,38,yes,76561198013295375
MAJ3R,2024,3.0,0.95,65.3,71.3,49,yes,76561197967432889
MAJ3R,2025,3.0,0.88,61.2,69.6,60,yes,76561197967432889
Wicadia,2024,3.0,1.07,76.5,72.4,38,yes,76561198812513923
Wicadia,2025,3.0,1.13,80.7,71.8,51,yes,76561198812513923
XANTARES,2024,3.0,1.17,85.8,74.9,31,yes,76561198044118796
XANTARES,2025,3.0,1.16,85.2,73.8,41,yes,76561198044118796
woxic,2024,3.0,1.06,71.1,73.0,69,yes,76561198083485506
woxic,2025,3.0,1.07,71.0,73.6,78,yes,76561198083485506
stavn,2024,3.0,1.07,81.4,71.7,37,yes,76561198022365638
stavn,2025,3.0,1.07,79.2,73.7,51,yes,76561198022365638
electroNic,2024,3.0,1.05,78.4,73.1,27,yes,76561198044045107
electroNic,2025,3.0,0.97,71.8,70.8,37,yes,76561198044045107
jabbi,2024,3.0,1.08,73.0,72.3,54,yes,76561198120557348
jabbi,2025,3.0,1.04,71.5,71.3,42,yes,76561198120557348
Snax,2024,3.0,0.93,66.6,71.1,52,yes,76561197982141573
Snax,2025,3.0,0.89,63.2,71.1,39,yes,76561197982141573
KSCERATO,2024,3.0,1.18,80.9,74.7,65,yes,76561198058500492
KSCERATO,2025,3.0,1.2,82.0,76.4,64,yes,76561198058500492
jks,2024,3.0,1.04,71.6,74.0,44,yes,76561197977105184
jks,2025,3.0,1.0,70.5,73.3,46,yes,76561197977105184
Staehr,2024,3.0,1.05,73.6,72.4,35,yes,76561198005107817
Staehr,2025,3.0,1.07,75.5,72.6,49,yes,76561198005107817
device,2024,3.0,1.06,73.9,72.1,62,yes,76561197987713664
device,2025,3.0,1.07,76.0,72.0,60,yes,76561197987713664
yuurih,2024,3.0,1.09,78.7,74.2,53,yes,76561198164970560
yuurih,2025,3.0,1.07,75.5,76.2,41,yes,76561198164970560
nqz,2024,3.0,1.12,71.8,75.4,65,yes,76561198350342505
nqz,2025,3.0,1.08,72.2,72.8,75,yes,76561198350342505
biguzera,2024,3.0,1.11,78.2,72.3,54,yes,76561198015308884
biguzera,2025,3.0,0.98,70.9,69.9,46,yes,76561198015308884
FalleN,2024,3.0,0.99,65.3,70.2,56,yes,76561197960690195
FalleN,2025,3.0,0.94,62.6,70.7,43,yes,76561197960690195
jL,2024,3.0,1.14,78.5,73.9,64,yes,76561198176878303
jL,2025,3.0,1.07,78.2,73.0,62,yes,76561198176878303
snow,2024,3.0,1.08,73.1,74.5,63,yes,76561198377335846
snow,2025,3.0,0.97,69.2,70.8,51,yes,76561198377335846
FL4MUS,2024,3.0,1.11,80.4,71.4,42,yes,76561198014259134
FL4MUS,2025,3.0,1.02,72.1,71.5,28,yes,76561198014259134
HeavyGoD,2024,3.0,1.19,81.5,74.5,77,yes,76561198068002993
HeavyGoD,2025,3.0,1.15,77.0,76.0,70,yes,76561198068002993
ICY,2024,3.0,1.12,70.1,75.1,92,yes,76561198055109028
ICY,2025,3.0,1.01,64.0,72.7,87,yes,76561198055109028
jottAAA,2025,3.0,1.02,70.8,72.3,42,yes,76561198410750263
nexa,2024,3.0,0.99,68.0,72.1,50,yes,76561197999825422
bLitz,2024,3.0,1.1,80.4,73.3,50,yes,76561198959824088
bLitz,2025,3.0,1.0,75.7,69.8,48,yes,76561198959824088
kauez,2024,3.0,1.05,72.1,71.9,43,yes,76561198385657675
kauez,2025,3.0,1.0,71.8,71.9,34,yes,76561198385657675
Techno4K,2024,3.0,1.06,73.0,72.3,53,yes,76561198966340160
Techno4K,2025,3.0,0.98,68.8,69.6,56,yes,76561198966340160
HooXi,2024,3.0,0.87,60.6,70.8,22,yes,76561197998926770
HooXi,2025,3.0,0.93,66.0,69.1,43,yes,76561197998926770
910,2024,3.0,1.07,71.3,72.5,64,yes,76561199203563345
910,2025,3.0,1.04,72.0,71.3,64,yes,76561199203563345
Mzinho,2024,3.0,1.06,73.2,72.2,42,yes,76561198838822582
Mzinho,2025,3.0,1.05,72.8,71.8,59,yes,76561198838822582
story,2024,3.0,1.05,70.7,72.7,72,yes,76561198065448360
story,2025,3.0,1.09,73.3,72.2,61,yes,76561198065448360
MUTiRiS,2024,3.0,1.0,69.9,72.4,54,yes,76561197997981170
MUTiRiS,2025,3.0,0.97,70.1,71.6,45,yes,76561197997981170
Jame,2024,3.0,1.02,65.8,74.2,74,yes,76561198036125584
Jame,2025,3.0,1.15,75.1,75.6,88,yes,76561198036125584
Senzu,2024,3.0,1.14,80.7,72.5,49,yes,76561198920720017
Senzu,2025,3.0,1.12,79.5,72.1,51,yes,76561198920720017
INS,2024,3.0,1.24,87.6,75.5,51,yes,76561197987212623
INS,2025,3.0,0.96,72.4,69.5,41,yes,76561197987212623
dav1deuS,2025,3.0,1.02,74.5,70.6,43,yes,76561198120491311
Skullz,2024,3.0,1.0,68.9,72.8,44,yes,76561198118646644
Skullz,2025,3.0,0.99,68.5,74.0,53,yes,76561198118646644
cadiaN,2024,3.0,0.93,65.2,72.8,67,yes,76561198004115516
cadiaN,2025,3.0,0.86,64.1,69.3,42,yes,76561198004115516
siuhy,2024,3.0,0.95,68.3,70.0,44,yes,76561198150673360
siuhy,2025,3.0,0.88,64.2,67.3,29,yes,76561198150673360
Vexite,2024,3.0,1.13,78.4,74.9,38,yes,76561198052888143
Vexite,2025,3.0,1.03,73.5,71.0,49,yes,76561198052888143
insani,2024,3.0,1.19,83.5,74.0,35,yes,76561198061423730
insani,2025,3.0,1.14,82.8,71.8,38,yes,76561198061423730
EliGE,2024,3.0,1.16,85.3,72.9,44,yes,76561198066693739
EliGE,2025,3.0,1.1,80.4,71.6,32,yes,76561198066693739
roman,2024,3.0,0.97,69.5,70.9,44,yes,76561197994395491
roman,2025,3.0,0.89,66.0,68.6,47,yes,76561197994395491
NertZ,2025,3.0,1.05,77.1,70.0,43,yes,76561198053126645
exit,2024,3.0,1.08,73.9,76.2,62,yes,76561198010496342
exit,2025,3.0,0.97,67.1,72.7,66,yes,76561198010496342
REZ,2024,3.0,1.07,77.9,71.2,49,yes,76561198034172415
REZ,2025,3.0,1.11,78.4,73.4,40,yes,76561198034172415
n0rb3r7,2024,3.0,0.99,68.6,71.1,43,yes,76561198222442504
kyxsan,2025,3.0,0.96,65.7,72.5,43,yes,76561198057282432
ztr,2024,3.0,0.98,69.3,70.7,68,yes,76561199009468655
ztr,2025,3.0,0.89,64.3,68.5,61,yes,76561199009468655
Sonic,2024,3.0,1.14,80.9,73.8,47,yes,76561197975129851
Sonic,2025,3.0,1.12,81.7,71.9,34,yes,76561197975129851
TeSeS,2025,3.0,1.03,69.4,71.9,50,yes,76561197996678278
lux,2024,3.0,1.12,79.6,74.8,45,yes,76561198074017668
lux,2025,3.0,1.04,77.8,72.1,32,yes,76561198074017668
hallzerk,2024,3.0,1.07,71.5,72.5,77,yes,76561198060367310
hallzerk,2025,3.0,1.08,71.8,72.9,85,yes,76561198060367310
Krimbo,2024,3.0,1.1,74.0,74.5,88,yes,76561198170631091
Krimbo,2025,3.0,1.09,73.9,74.5,74,yes,76561198170631091
Tauson,2024,3.0,1.06,77.2,72.7,49,yes,76561198316706174
Tauson,2025,3.0,1.03,72.6,72.7,70,yes,76561198316706174
stanislaw,2024,3.0,1.01,70.0,72.5,53,yes,76561197981849043
stanislaw,2025,3.0,0.92,63.2,70.4,38,yes,76561197981849043
saffee,2024,3.0,1.06,70.7,73.8,65,yes,76561197985565685
saffee,2025,3.0,0.94,65.7,69.2,73,yes,76561197985565685
tabseN,2024,3.0,1.01,75.0,72.0,41,yes,76561197961491680
tabseN,2025,3.0,1.03,74.8,71.1,44,yes,76561197961491680
chelo,2024,3.0,0.97,68.7,70.2,29,yes,76561198067763828
chelo,2025,3.0,1.02,71.2,71.9,44,yes,76561198067763828
JT,2024,3.0,0.94,68.3,70.6,28,yes,76561198021715100
JT,2025,3.0,1.02,73.9,71.8,43,yes,76561198021715100
Lucaozy,2024,3.0,1.11,82.1,73.9,34,yes,76561198157388473
Lucaozy,2025,3.0,1.0,73.7,71.5,42,yes,76561198157388473
Grim,2024,3.0,1.02,73.8,72.5,41,yes,76561198191236195
Grim,2025,3.0,1.12,82.5,74.4,42,yes,76561198191236195
dexter,2024,3.0,1.1,79.6,71.3,30,yes,76561198061801241
dexter,2025,3.0,0.99,76.5,67.9,30,yes,76561198061801241
susp,2024,3.0,1.05,74.7,73.1,56,yes,76561198342718168
susp,2025,3.0,1.07,78.2,71.6,31,yes,76561198342718168
JDC,2024,3.0,1.08,78.1,71.9,39,yes,76561198078771373
JDC,2025,3.0,1.11,81.2,71.4,36,yes,76561198078771373
Liazz,2024,3.0,1.11,73.4,75.6,64,yes,76561198072321716
Liazz,2025,3.0,1.04,70.3,73.6,67,yes,76561198072321716
JBa,2024,3.0,1.14,76.2,75.5,63,yes,76561198184153575
JBa,2025,3.0,1.13,76.5,75.0,62,yes,76561198184153575
phzy,2024,3.0,1.17,79.0,73.7,84,yes,76561198408199043
phzy,2025,3.0,1.15,77.0,73.9,84,yes,76561198408199043
PR,2025,3.0,1.12,80.9,72.7,55,yes,76561198310561479
nicx,2025,3.0,0.99,65.8,70.9,55,yes,76561198410085211
Magisk,2025,3.0,0.98,69.4,72.2,46,yes,76561197983956651
regali,2024,3.0,1.14,75.3,75.9,73,yes,76561198098463229
regali,2025,3.0,1.11,73.5,73.3,73,yes,76561198098463229
molodoy,2025,3.0,1.17,77.8,73.6,76,yes,76561198200982290
sl3nd,2024,3.0,1.1,76.1,75.1,75,yes,76561198098071693
sl3nd,2025,3.0,1.0,69.7,73.4,61,yes,76561198098071693
ewjerkz,2024,3.0,1.16,80.8,73.6,32,yes,76561198262460262
ewjerkz,2025,3.0,1.08,74.8,72.5,43,yes,76561198262460262
Jee,2024,3.0,1.12,71.6,76.9,41,yes,76561198360407641
Jee,2025,3.0,1.09,73.3,74.0,74,yes,76561198360407641
ag1l,2025,3.0,1.06,73.4,73.1,66,yes,76561198186878873
kyuubii,2025,3.0,1.01,70.9,71.6,42,yes,76561198144926364
hyped,2025,3.0,0.97,67.5,70.0,56,yes,76561198139604328
mir,2024,3.0,0.92,66.5,71.9,50,yes,76561198000827804
n1ssim,2024,3.0,1.02,71.7,70.7,64,yes,76561198061763596
n1ssim,2025,3.0,1.02,69.4,72.7,56,yes,76561198061763596
Mercury,2025,3.0,1.04,75.2,73.9,46,yes,76561198108796479
JamYoung,2025,3.0,1.17,81.7,74.0,65,yes,76561198364937038
br0,2024,3.0,1.0,68.6,71.9,38,yes,76561198060483793
br0,2025,3.0,1.14,81.8,74.2,46,yes,76561198060483793
drop,2024,3.0,1.02,70.6,74.1,54,yes,76561198388056582
drop,2025,3.0,1.06,76.0,75.4,48,yes,76561198388056582
arrozdoce,2024,3.0,1.14,75.6,71.8,67,yes,76561197973757802
Moseyuh,2025,3.0,1.11,77.3,75.1,52,yes,76561198355197522
latto,2024,3.0,1.21,81.4,77.2,56,yes,76561198850020186
latto,2025,3.0,1.18,79.1,76.2,51,yes,76561198850020186
dgt,2024,3.0,1.11,80.2,74.3,49,yes,76561198216891576
dgt,2025,3.0,1.03,73.5,71.3,56,yes,76561198216891576
Attacker,2025,3.0,0.92,66.7,73.1,35,yes,76561198048266764
dumau,2024,3.0,1.19,84.6,74.9,54,yes,76561198194325317
dumau,2025,3.0,1.11,80.5,73.9,36,yes,76561198194325317
MATYS,2024,3.0,1.11,79.7,72.0,28,yes,76561199046478501
MATYS,2025,3.0,1.15,80.1,73.3,34,yes,76561199046478501
Shr,2025,3.0,0.98,74.0,67.5,21,yes,76561198026724513
makazze,2025,3.0,1.13,82.5,73.8,34,yes,76561199076189612
SunPayus,2025,3.0,1.09,70.7,74.8,75,yes,76561198309839541
Djoko,2025,3.0,1.04,74.2,71.7,46,yes,76561198047876970
saadzin,2025,3.0,1.07,68.9,75.6,73,yes,76561198100494962
isak,2024,3.0,0.97,71.6,70.8,46,yes,76561198071910365
aliStair,2024,3.0,1.07,67.0,74.3,65,yes,76561198098346710
hades,2025,3.0,1.08,73.5,72.0,81,yes,76561198050922008
jcobbb,2025,3.0,1.08,78.1,72.5,30,yes,76561198178737429
brnz4n,2025,3.0,0.99,69.5,70.6,79,yes,76561198855876580
degster,2025,3.0,1.02,67.9,73.2,54,yes,76561198799340122
noway,2024,3.0,1.05,74.1,73.6,32,yes,76561198800209567
noway,2025,3.0,1.06,74.1,74.0,35,yes,76561198800209567
r1nkle,2024,3.0,1.04,72.4,71.3,72,yes,76561198294381090
r1nkle,2025,3.0,1.14,78.9,74.3,63,yes,76561198294381090
Calyx,2024,3.0,1.02,69.5,72.4,60,yes,76561198052546265
Cxzi,2025,3.0,1.04,78.2,71.8,30,yes,76561198171719689
VINI,2024,3.0,1.02,70.0,72.8,42,yes,76561197996370184
VINI,2025,3.0,1.06,74.2,73.3,59,yes,76561197996370184
headtr1ck,2025,3.0,1.06,72.7,74.8,69,yes,76561198359519930
decenty,2024,3.0,1.1,77.0,73.6,54,yes,76561198307171910
npl,2025,3.0,1.14,80.4,74.2,56,yes,76561198305036904
volt,2024,3.0,1.0,68.7,72.6,41,yes,76561198155754447
jackasmo,2024,3.0,1.1,78.1,73.3,51,yes,76561198446445284
jackasmo,2025,3.0,1.0,71.5,70.9,41,yes,76561198446445284
fEAR,2024,3.0,1.02,73.9,74.0,63,yes,76561198132026180
fEAR,2025,3.0,0.89,64.6,71.6,31,yes,76561198132026180
jambo,2024,3.0,1.13,78.0,74.1,74,yes,76561198800253526
jambo,2025,3.0,1.11,77.0,72.6,57,yes,76561198800253526
Stewie2K,2024,3.0,0.84,64.0,68.3,30,yes,76561197999004010
esenthial,2025,3.0,1.0,68.2,73.0,58,yes,76561199149812353
alex666,2025,3.0,1.02,72.6,72.8,64,yes,76561198304115519
blameF,2024,3.0,1.16,83.0,76.2,59,yes,76561198028458803
blameF,2025,3.0,1.22,87.9,76.6,61,yes,76561198028458803
felps,2024,3.0,1.08,81.5,71.3,36,yes,76561197983031494
kensizor,2025,3.0,1.03,76.7,71.5,33,yes,76561198382173659
salazar,2024,3.0,0.99,63.8,72.4,78,yes,76561198102263776
Boombl4,2024,3.0,0.99,70.5,72.2,42,yes,76561198146207066
alex,2024,3.0,0.96,68.0,71.4,48,yes,76561198000984547
westmelon,2024,3.0,1.01,74.8,71.5,33,yes,76561198107240040
westmelon,2025,3.0,1.07,75.2,71.3,41,yes,76561198107240040
nettik,2025,3.0,1.07,78.6,71.6,48,yes,76561198332845251
Nodios,2024,3.0,1.02,71.2,71.8,67,yes,76561198070876270
EmiliaQAQ,2024,3.0,1.06,75.1,72.0,48,yes,76561198816731401
EmiliaQAQ,2025,3.0,1.02,71.3,71.0,58,yes,76561198816731401
Starry,2024,3.0,1.14,82.0,74.7,62,yes,76561198880299543
Starry,2025,3.0,1.09,79.5,73.4,34,yes,76561198880299543
KRiMZ,2024,3.0,1.02,69.2,72.9,51,yes,76561198031651584
KRiMZ,2025,3.0,1.01,69.0,73.4,55,yes,76561198031651584
nawwk,2024,3.0,1.04,68.0,73.4,87,yes,76561198153651861
z4KR,2024,3.0,1.11,74.6,73.6,59,yes,76561198137783463
z4KR,2025,3.0,1.13,74.5,73.0,80,yes,76561198137783463
acoR,2024,3.0,1.05,71.1,71.6,61,yes,76561198002942763
acoR,2025,3.0,1.02,68.8,71.2,63,yes,76561198002942763
Patti,2024,3.0,0.97,71.6,71.8,42,yes,76561198019990506
maxster,2024,3.0,1.08,76.0,73.8,57,yes,76561199132217533
Ax1Le,2024,3.0,1.07,78.8,74.0,38,yes,76561198045433304
kraghen,2024,3.0,1.03,76.0,72.9,44,yes,76561198047198945
Perfecto,2024,3.0,1.11,68.3,77.4,84,yes,76561198121220486
Perfecto,2025,3.0,1.04,71.3,73.4,57,yes,76561198121220486
try,2024,3.0,1.1,72.7,74.9,72,yes,76561198365118288
try,2025,3.0,1.24,82.1,76.0,76,yes,76561198365118288
Kvem,2025,3.0,1.13,84.9,73.0,36,yes,76561198845436666
Queenix,2024,3.0,1.01,68.2,71.5,65,yes,76561198030545997
CacaNito,2024,3.0,1.01,76.4,70.0,42,yes,76561198263656468
Xant3r,2024,3.0,1.14,80.6,72.7,49,yes,76561198839305865
Keoz,2024,3.0,0.97,67.6,70.8,41,yes,76561198098344244
xKacpersky,2025,3.0,1.15,85.2,72.4,35,yes,76561198362964332
s1mple,2025,3.0,1.18,79.8,74.5,72,yes,76561198034202275
1eeR,2024,3.0,1.0,72.5,72.5,51,yes,76561198837117408
beastik1,2024,3.0,0.97,66.9,70.4,51,yes,76561198033438750
kaze,2024,3.0,1.09,68.8,75.0,92,yes,76561197976393269
arT,2024,3.0,1.02,77.1,72.1,29,yes,76561198043769572
STYKO,2024,3.0,0.99,71.0,70.6,46,yes,76561198016194159
F1KU,2024,3.0,1.02,71.7,71.0,54,yes,76561198252434500
F1KU,2025,3.0,1.1,76.1,74.1,55,yes,76561198252434500
cej0t,2025,3.0,1.02,77.6,71.6,36,yes,76561198080449500
AZUWU,2025,3.0,1.02,75.1,71.8,40,yes,76561198974494129
Snappi,2025,3.0,0.95,70.7,71.6,42,yes,76561197989423065
HObbit,2024,3.0,1.13,80.9,74.6,53,yes,76561198028292758
max,2024,3.0,1.0,74.6,70.9,30,yes,76561198242950384
HexT,2025,3.0,1.16,73.9,74.8,58,yes,76561198210934463
MartinezSa,2024,3.0,1.12,72.8,73.9,70,yes,76561198370086461
buda,2024,3.0,0.95,66.3,71.5,41,yes,76561198199343350
Summer,2024,3.0,1.0,72.1,70.9,66,yes,76561198013230247
HUASOPEEK,2024,3.0,1.05,72.3,72.6,45,yes,76561198319723208
L1haNg,2024,3.0,1.07,81.8,72.1,37,yes,76561199016206318
SOMEBODY,2024,3.0,1.04,75.9,70.3,66,yes,76561198045397601
floppy,2024,3.0,0.98,68.9,73.4,57,yes,76561198306519263
--majky,2024,3.0,1.0,75.7,69.0,40,yes,76561198833618656
C4LLM3SU3,2025,3.0,1.0,70.0,72.1,72,yes,76561198416388144
prosus,2024,3.0,0.98,71.0,70.5,25,yes,76561198178801031
ChildKing,2024,3.0,1.04,76.9,71.4,49,yes,76561198352656104
MoriiSko,2024,3.0,1.02,75.7,69.4,39,yes,76561198051727799
syrsoN,2024,3.0,0.98,67.4,70.6,55,yes,76561197980122997
kyousuke,2025,3.0,1.25,90.0,74.6,27,yes,76561199032006224
sense,2024,3.0,0.91,67.7,69.4,43,yes,76561198192927541
HEN1,2024,3.0,1.11,72.5,75.1,83,yes,76561198018027263
khaN,2024,3.0,1.05,68.7,72.5,75,yes,76561198951467648
s-chilla,2024,3.0,1.01,70.5,72.8,43,yes,76561198964042711
jkaem,2024,3.0,1.04,84.1,71.1,22,yes,76561198002708642
zeRRoFIX,2024,3.0,0.95,68.5,72.4,37,yes,76561199121088563
oskar,2024,3.0,1.09,77.1,70.5,82,yes,76561198131690816
s1n,2024,3.0,1.07,75.2,75.0,52,yes,76561198190463461
s1n,2025,3.0,1.06,71.3,74.8,57,yes,76561198190463461
sjuush,2025,3.0,1.15,79.1,75.3,41,yes,76561198160709585
SHOCK--,2024,3.0,1.09,73.4,71.7,68,yes,76561198169560297
riskyb0b,2024,3.0,1.03,75.0,74.1,37,yes,76561198889240025
mantuu,2024,3.0,1.06,72.4,73.7,73,yes,76561198016432560
b4rtin,2024,3.0,1.04,69.1,73.9,55,yes,76561198130084582
Nexius,2024,3.0,0.97,72.2,69.4,28,yes,76561198170578957
kl1m,2025,3.0,1.26,85.2,76.5,67,yes,76561198125068631
controlez,2025,3.0,1.06,77.3,70.1,52,yes,76561198362438171
nicoodoz,2025,3.0,1.09,76.8,73.5,54,yes,76561198073117127
Jeorge,2025,3.0,1.15,79.6,74.9,58,yes,76561198353869335
deko-_-,2024,3.0,1.14,78.1,74.9,68,yes,76561198287546191
Swisher,2025,3.0,1.11,76.1,75.1,44,yes,76561198183003671
Norwi-,2024,3.0,1.02,70.3,72.8,45,yes,76561198154904607
slaxz-,2025,3.0,1.19,75.9,76.3,72,yes,76561198064353169
interz,2024,3.0,0.93,62.4,73.5,62,yes,76561198208074320
rigoN,2024,3.0,1.01,75.8,69.9,38,yes,76561198172837021
motm,2024,3.0,1.03,74.5,72.2,41,yes,76561198020474058
AW,2025,3.0,1.04,72.6,73.4,52,yes,76561198269361539
NickelBack,2024,3.0,0.89,68.2,70.1,40,yes,76561197962148507
xelex,2025,3.0,1.12,79.3,72.4,56,yes,76561198998266210
spooke,2025,3.0,1.08,79.2,73.6,36,yes,76561198079183361
Buzz,2025,3.0,1.03,72.9,74.4,41,yes,76561198248953762
juanflatroo,2024,3.0,1.05,80.1,71.5,36,yes,76561198095793955
Forester,2024,3.0,1.03,76.2,71.6,34,yes,76561198027348753
deb0,2024,3.0,1.18,81.2,72.0,78,yes,76561198811869293
Chr1zN,2025,3.0,1.04,75.0,70.3,49,yes,76561198292598811
KENSI1337,2024,3.0,1.03,78.5,72.7,38,yes,76561198400646282
SLIGHT,2024,3.0,0.97,68.2,69.7,77,yes,76561198153580037
-Lack1,2024,3.0,0.97,72.2,69.3,41,yes,76561198146202997
SENER1,2024,3.0,0.96,68.8,72.4,63,yes,76561198152378187
JACKZ,2024,3.0,1.05,74.6,71.8,48,yes,76561197972242917
gxx-,2024,3.0,0.94,65.8,69.5,76,yes,76561198234835452
coldzera,2024,3.0,1.1,76.3,73.4,61,yes,76561198039986599
sinnopsyy,2024,3.0,1.0,76.3,69.5,54,yes,76561198165327895
BELCHONOKK,2025,3.0,1.1,78.3,74.3,43,yes,76561198253670517
TRAVIS,2024,3.0,1.09,74.4,71.6,67,yes,76561198362970723
horvy,2024,3.0,0.57,47.6,52.2,22,yes,76561197971316261
r3salt,2024,3.0,1.18,82.2,73.3,59,yes,76561198350362302
oSee,2025,3.0,1.13,76.3,74.4,46,yes,76561198047472534
NEKIZ,2024,3.0,0.92,68.4,69.9,23,yes,76561198036884160
Krad,2024,3.0,1.03,74.5,69.9,50,yes,76561198031908632
k1to,2024,3.0,0.87,66.1,67.6,29,yes,76561198182462587
nitr0,2025,3.0,1.05,70.7,74.4,58,yes,76561197995889730
xiELO,2025,3.0,1.11,81.6,73.5,36,yes,76561198141272052
Qikert,2025,3.0,1.02,70.1,73.3,45,yes,76561198127236290
Kursy,2025,3.0,1.07,74.2,72.1,79,yes,76561198350606449
nota,2025,3.0,1.06,74.2,74.6,49,yes,76561198975070027
Lake,2025,3.0,1.18,84.6,74.6,31,yes,76561198337484196
