feature,pillar,logreg_auc_drop,xgb_auc_drop,lgbm_auc_drop,catboost_auc_drop,rf_auc_drop
t_he,tactical,0.0006405234914883201,0.0007260845034917163,0.000702901731879545,0.0007056157321647479,0.00024933330781093914
t_a_site_players,tactical,0.0006392449783458461,0.00006631050676560385,0.00004595792279057533,0.000014665428256996747,0.00009643682129110931
ct_defuse_kits,economy,0.0005934881626976085,-0.0003210781228593715,-0.00029948745319635384,0.000050084775839936644,-0.0011104909883797828
n_ct_near_bomb,tactical,0.000566654470010036,5.463265520195973e-6,1.8214312269501188e-6,5.500258119028561e-6,8.995206368320603e-6
min_ct_path_to_bomb,tactical,0.0004255967993236456,0.007083919368942765,0.0063366755640297655,0.004987917919484722,0.0019166945533859855
ct_banana_players,tactical,0.0003435640338415474,0.000013912234227422958,9.791154479190541e-6,-3.134357444421446e-6,-0.00011802173269956554
control_trend,voronoi,0.0002321422059454518,-2.7925048413689717e-7,4.425197882270123e-8,0.0,-0.00013589449785375462
ct_flashes,tactical,0.00020195557262600323,0.00009684840051590488,0.00009417954512417351,0.00006618384779646846,-0.00050313440963211
t_smokes,tactical,0.00018973410798644297,-2.3441948294804025e-6,-5.719703026691728e-6,-5.6244849484820584e-6,-0.0007250762688003087
ct_fire,tactical,0.00017192497699733146,0.00004455048439404071,0.00006667770728064624,0.00001354260572132615,-0.0007030592546758552
t_fire,tactical,0.00016574591700611174,0.00017001727064230775,0.00014381554264143175,0.00008239802428392804,-0.00023116938142723768
t_awp_zone,tactical,0.00011079804710950594,0.000023428372956360307,0.000027742638012940215,0.000038488492218501474,-0.00017793689423575696
control_volatility,voronoi,0.00010325730223283109,-2.2020580981320765e-6,-0.000011097813615873974,0.000020541376984405825,-0.00020034486096400024
ct_a_site_control,voronoi,0.00010210503151665388,0.004874487593652549,0.004989632924468295,0.0041065666484371155,0.0010396291479504486
t_positional_entropy,tactical,0.00007911414605261896,-5.84745660040681e-6,-0.00001727954911953973,0.0,0.00021518743048097672
ct_b_site_control,voronoi,0.000049429294181657906,0.0009947598523080403,0.0009708450629283789,0.0012571731428659355,0.0005989530852457744
ct_ct_spawn_players,tactical,0.00004837054925002587,4.873929258787783e-7,-1.4835859894540347e-7,0.0,-0.00003389940739358906
t_mid_players,tactical,0.00003614184572927309,-9.508238479405967e-7,0.000014921704815955299,0.0,0.00009264511391620453
ct_smokes,tactical,0.00003542383819476531,0.000040475109059822806,0.0000199668169797932,-0.000018094683095514252,-0.00045951240684932585
ct_awp_zone,tactical,0.000028447914540006087,0.000013101037166392572,0.00003694638994470173,2.092146613479054e-6,-0.00027283504800526873
ct_util_total,tactical,0.000012296988328478508,0.00005424170492292627,9.555424531250798e-6,-1.3470741747190144e-6,-0.0010296665113578465
ct_b_site_players,tactical,9.083262399551453e-6,-0.000010370970012665207,-0.000017796362236342115,1.055531379059099e-6,3.09608009860785e-6
t_ct_spawn_players,tactical,1.3142909395187538e-6,-6.706143508591245e-7,-3.70021680359746e-7,0.0,-0.00001660072067219041
ct_mid_players,tactical,1.3016268600665924e-6,5.40112882419568e-7,6.120785718721648e-6,0.0,-0.000021096391063714478
bomb_carrier_zone,tactical,-1.0893528376121253e-6,0.00021510964194321815,0.000253383271097356,0.00021706086833086485,0.00004886657001457953
ct_positional_entropy,tactical,-0.00002490095934193273,0.000031598751270661815,0.00003745796068566631,0.00017195219278130964,0.0002712906319381445
utility_advantage,tactical,-0.000024996358066632618,-0.00004315838176598054,-0.000014409269677965265,-0.00004127166997429023,-0.0011013368811459733
t_util_total,tactical,-0.00003192115376771208,-0.000020910196651621166,-0.000012661273423941438,0.00002539483263877922,-0.0006478911820685908
t_score,economy,-0.00003422773323791025,0.0009072626604524478,0.0010237754079641481,0.0002293752026710955,-0.0011910368074124693
ct_he,tactical,-0.00006957909219733056,-0.000046462445941198854,-0.00007030421136529585,-0.00005912318834442155,-0.0006853467676799888
score_diff,economy,-0.00007717558198421183,0.0005616486155099523,0.0002684260388959529,0.0015472775446608198,-0.0011475329337954766
round_num,economy,-0.00008266863733562164,-0.00030623173515182534,-0.0001385499732842632,0.0009300669495584026,-0.0017775841550772104
ct_a_site_players,tactical,-0.0000979468055169138,-0.000012471049963839264,-0.000022399041513320596,-0.0000378031806203906,-0.00010251530661811315
t_flashes,tactical,-0.00011047893851123793,-0.000022776569463029822,-0.00001796566337040948,0.000017590462473963293,-0.0006884628764722096
ct_score,economy,-0.00014100077012520068,-0.00017420573336658293,-0.00019203021478459738,-0.0005738996061432168,-0.0012064646934648007
ct_awp_alive,tactical,-0.00017380108445789506,-0.00018614423538634015,-0.00015300515210064052,-0.000030418277570031496,-0.0010406144114350766
